"","sort.n3gramstats..decreasing...T.","last"
"99",247,"to get the"
"100",245,"would like to"
"101",243,"dont want to"
"102",242,"in the middle"
"103",240,"more than a"
"104",240,"to do it"
"105",237,"of the most"
"106",234,"a little bit"
"107",234,"i cant wait"
"108",234,"need to be"
"109",234,"when it comes"
"110",233,"a chance to"
"111",233,"go to the"
"112",226,"will be a"
"113",225,"would be a"
"114",224,"because of the"
"115",219,"and i have"
"116",219,"as long as"
"117",219,"to be in"
"118",218,"to make the"
"119",217,"do you think"
"120",216,"side of the"
"121",215,"i hope you"
"122",215,"it comes to"
"123",215,"to make sure"
"124",214,"is not a"
"125",213,"for the rt"
"126",212,"and it was"
"127",212,"i know i"
"128",212,"in the s"
"129",212,"on the other"
"130",210,"in the morning"
"131",210,"the number of"
"132",210,"the university of"
"133",209,"to take a"
"134",209,"what do you"
"135",208,"as part of"
"136",208,"the middle of"
"137",205,"a long time"
"138",204,"in new york"
"139",203,"would love to"
"140",201,"as soon as"
"141",201,"i was a"
"142",201,"was one of"
"143",199,"it is the"
"144",198,"so i can"
"145",197,"is in the"
"146",196,"of the world"
"147",195,"i love the"
"148",195,"in my life"
"149",195,"it is not"
"150",195,"that i have"
"151",195,"the top of"
"152",195,"would have been"
"153",194,"a number of"
"154",194,"a part of"
"155",194,"look forward to"
"156",194,"we have to"
"157",192,"cant wait for"
"158",191,"do you have"
"159",191,"has been a"
"160",191,"said in a"
"161",190,"i am so"
"162",189,"up to the"
"163",188,"in the same"
"164",187,"there will be"
"165",185,"that would be"
"166",184,"in the us"
"167",183,"for a while"
"168",183,"you so much"
"169",182,"percent of the"
"170",182,"top of the"
"171",182,"up in the"
"172",180,"in the last"
"173",178,"a bunch of"
"174",178,"but it was"
"175",178,"for the next"
"176",178,"that i am"
"177",177,"be in the"
"178",177,"i am a"
"179",177,"of the best"
"180",176,"i have no"
"181",174,"and i am"
"182",174,"i dont have"
"183",173,"back in the"
"184",173,"part of a"
"185",172,"and it is"
"186",172,"many of the"
"187",171,"thanks so much"
"188",171,"that it is"
"189",171,"to get to"
"190",171,"were going to"
"191",170,"and i was"
"192",170,"for a few"
"193",170,"i was in"
"194",170,"is a great"
"195",170,"it has been"
"196",169,"wait to see"
"197",168,"going to have"
"198",168,"how are you"
"199",167,"check it out"
"200",166,"i would have"
"201",166,"so much for"
"202",166,"you for the"
"203",165,"for me to"
"204",165,"in addition to"
"205",165,"of the season"
"206",165,"on the way"
"207",164,"had a great"
"208",164,"its going to"
"209",163,"i think the"
"210",163,"looking for a"
"211",162,"but it is"
"212",162,"is the best"
"213",162,"that he was"
"214",162,"trying to get"
"215",161,"at this point"
"216",161,"he said he"
"217",161,"in love with"
"218",161,"of the new"
"219",161,"thanks for following"
"220",160,"for all the"
"221",160,"if you dont"
"222",160,"in the second"
"223",160,"was able to"
"224",159,"how do you"
"225",159,"needs to be"
"226",159,"there was no"
"227",158,"wish i could"
"228",156,"that it was"
"229",156,"will have to"
"230",155,"be sure to"
"231",155,"going to get"
"232",155,"i need a"
"233",155,"of my favorite"
"234",155,"the bottom of"
"235",155,"want to see"
"236",154,"have a good"
"237",154,"i decided to"
"238",154,"i dont want"
"239",153,"a way to"
"240",153,"seems to be"
"241",152,"happy mothers day"
"242",152,"what are you"
"243",151,"a great day"
"244",151,"it in the"
"245",151,"look at the"
"246",151,"that i was"
"247",151,"to be able"
"248",150,"a few days"
"249",150,"and i think"
"250",150,"going to the"
"251",150,"know how to"
"252",150,"on top of"
"253",149,"i went to"
"254",149,"what to do"
"255",148,"he said the"
"256",148,"i think it"
"257",148,"in the house"
"258",148,"the back of"
"259",148,"the idea of"
"260",148,"the new york"
"261",148,"was in the"
"262",147,"all over the"
"263",147,"it to the"
"264",146,"and in the"
"265",146,"one of them"
"266",146,"to say that"
"267",145,"a few years"
"268",145,"all the way"
"269",145,"i used to"
"270",145,"is on the"
"271",145,"member of the"
"272",144,"and i will"
"273",144,"i got a"
"274",144,"i know that"
"275",144,"members of the"
"276",144,"we want to"
"277",143,"go back to"
"278",143,"have to do"
"279",143,"need to get"
"280",143,"to work with"
"281",142,"supposed to be"
"282",142,"to see if"
"283",142,"we had a"
"284",142,"went to the"
"285",142,"will be the"
"286",141,"at a time"
"287",141,"is a good"
"288",141,"of my life"
"289",141,"of the first"
"290",140,"but i have"
"291",140,"of the time"
"292",140,"the last time"
"293",140,"to find a"
"294",139,"a series of"
"295",139,"have to go"
"296",139,"to talk about"
"297",138,"as a result"
"298",138,"come up with"
"299",138,"i think its"
"300",138,"when he was"
"301",137,"a group of"
"302",137,"i would like"
"303",137,"in a statement"
"304",137,"in the city"
"305",137,"is the only"
"306",137,"the kind of"
"307",137,"would have to"
"308",136,"in the country"
"309",136,"in the end"
"310",135,"i love it"
"311",135,"i thought i"
"312",135,"in terms of"
"313",135,"the same thing"
"314",135,"to keep the"
"315",135,"you can see"
"316",134,"according to a"
"317",134,"by the time"
"318",134,"i do not"
"319",134,"in the future"
"320",134,"thank you so"
"321",134,"the opportunity to"
"322",134,"to talk to"
"323",133,"away from the"
"324",133,"the beginning of"
"325",133,"you know what"
"326",132,"but i think"
"327",132,"he was a"
"328",132,"i just want"
"329",132,"new york city"
"330",131,"a piece of"
"331",131,"be a good"
"332",131,"this is not"
"333",131,"to figure out"
"334",130,"for the rest"
"335",130,"the way to"
"336",130,"to deal with"
"337",130,"want to do"
"338",130,"with all the"
"339",129,"i am going"
"340",129,"i miss you"
"341",129,"i think that"
"342",129,"in the next"
"343",129,"let us know"
"344",129,"to work on"
"345",128,"and of course"
"346",128,"much of the"
"347",128,"the only thing"
"348",128,"to try to"
"349",128,"you are a"
"350",127,"will be in"
"351",127,"you know that"
"352",126,"as far as"
"353",126,"but i am"
"354",126,"dont know what"
"355",126,"for more than"
"356",126,"i like to"
"357",126,"said he was"
"358",126,"to have to"
"359",125,"director of the"
"360",125,"is the most"
"361",125,"to see what"
"362",124,"a lot more"
"363",124,"a member of"
"364",124,"a variety of"
"365",124,"get out of"
"366",124,"is expected to"
"367",124,"please follow me"
"368",124,"that you can"
"369",124,"used to be"
"370",123,"a great time"
"371",123,"are in the"
"372",123,"at the top"
"373",123,"dont have to"
"374",123,"i was going"
"375",123,"im not sure"
"376",123,"is that the"
"377",123,"to all the"
"378",123,"want to go"
"379",122,"check out the"
"380",122,"in the united"
"381",122,"just want to"
"382",122,"more than million"
"383",122,"over the past"
"384",122,"up with the"
"385",121,"have a lot"
"386",121,"i would love"
"387",121,"no matter what"
"388",121,"on the road"
"389",121,"out of my"
"390",121,"that they are"
"391",121,"that you are"
"392",121,"up with a"
"393",121,"what kind of"
"394",120,"a matter of"
"395",120,"the people who"
"396",120,"you can do"
"397",119,"a little more"
"398",119,"and if you"
"399",119,"for the last"
"400",119,"had to be"
"401",119,"half of the"
"402",118,"a pair of"
"403",118,"front of the"
"404",118,"have to say"
"405",118,"i didnt know"
"406",118,"is not the"
"407",118,"to see a"
"408",117,"am going to"
"409",117,"but i dont"
"410",117,"the other hand"
"411",117,"to find out"
"412",116,"and a half"
"413",116,"do you know"
"414",116,"going to do"
"415",116,"no matter how"
"416",116,"the only one"
"417",116,"to do so"
"418",116,"was the first"
"419",116,"you dont have"
"420",115,"at least one"
"421",115,"if you can"
"422",115,"president of the"
"423",115,"the time i"
"424",115,"to be on"
"425",115,"to get out"
"426",114,"by the way"
"427",114,"i get to"
"428",114,"in the face"
"429",114,"over the last"
"430",114,"we will be"
"431",114,"will not be"
"432",114,"you will be"
"433",113,"and i dont"
"434",113,"by the end"
"435",113,"is the first"
"436",113,"of the game"
"437",113,"out in the"
"438",113,"the amount of"
"439",113,"the city of"
"440",113,"the name of"
"441",113,"to create a"
"442",113,"to use the"
"443",112,"have been a"
"444",112,"i have the"
"445",112,"i was just"
"446",112,"its time to"
"447",112,"may not be"
"448",112,"of all the"
"449",112,"on the floor"
"450",112,"take care of"
"451",112,"to do that"
"452",111,"been able to"
"453",111,"being able to"
"454",111,"did you know"
"455",111,"down to the"
"456",111,"it could be"
"457",111,"of the house"
"458",111,"out to be"
"459",110,"bottom of the"
"460",110,"due to the"
"461",110,"hope to see"
"462",110,"on my way"
"463",110,"one of our"
"464",110,"the cost of"
"465",110,"to do the"
"466",110,"to take the"
"467",109,"all of us"
"468",109,"any of the"
"469",109,"has to be"
"470",109,"i don’t know"
"471",109,"i thought it"
"472",109,"that this is"
"473",109,"the best of"
"474",109,"thought it was"
"475",108,"for those who"
"476",108,"i love that"
"477",108,"in a way"
"478",108,"in the early"
"479",108,"its hard to"
"480",108,"they want to"
"481",108,"up on the"
"482",108,"would be the"
"483",107,"i think we"
"484",107,"in my head"
"485",107,"lot of people"
"486",107,"over the years"
"487",107,"that i can"
"488",107,"that is the"
"489",107,"that there is"
"490",107,"this was a"
"491",106,"have no idea"
"492",106,"of the week"
"493",106,"well as the"
"494",105,"a few weeks"
"495",105,"as it is"
"496",105,"i can do"
"497",105,"i get a"
"498",105,"i like the"
"499",105,"such as the"
"500",105,"this is what"
"501",104,"a good thing"
"502",104,"around the world"
"503",104,"based on the"
"504",104,"middle of the"
"505",104,"more and more"
"506",104,"that is a"
"507",104,"the way i"
"508",104,"the white house"
"509",104,"time to get"
"510",104,"to have the"
"511",104,"to look at"
"512",104,"to win the"
"513",104,"what is the"
"514",103,"a list of"
"515",103,"and all the"
"516",103,"at the university"
"517",103,"be on the"
"518",103,"bit of a"
"519",103,"for you to"
"520",103,"in the state"
"521",103,"over and over"
"522",103,"said it was"
"523",103,"thank you to"
"524",103,"there are a"
"525",103,"to be an"
"526",103,"to do is"
"527",103,"up for the"
"528",103,"want to get"
"529",102,"he said i"
"530",102,"i did not"
"531",102,"i got to"
"532",102,"i would be"
"533",102,"it can be"
"534",102,"it looks like"
"535",102,"it should be"
"536",102,"of course i"
"537",102,"that was a"
"538",102,"the start of"
"539",102,"to listen to"
"540",101,"all of you"
"541",101,"as one of"
"542",101,"dont know how"
"543",101,"make sure you"
"544",101,"sounds like a"
"545",101,"the same way"
"546",101,"the use of"
"547",101,"there are no"
"548",101,"you can get"
"549",100,"a handful of"
"550",100,"but if you"
"551",100,"just have to"
"552",100,"seem to be"
"553",100,"that we are"
"554",100,"the ability to"
"555",100,"the block of"
"556",100,"the only way"
"557",100,"to pay for"
"558",99,"i can see"
"559",99,"in a few"
"560",99,"me in the"
"561",99,"the other side"
"562",98,"a good day"
"563",98,"for the new"
"564",98,"i had the"
"565",98,"in a row"
"566",98,"in the area"
"567",98,"is a very"
"568",98,"that was the"
"569",98,"to do a"
"570",98,"to do something"
"571",98,"was a good"
"572",98,"was a little"
"573",98,"when i get"
"574",97,"am to pm"
"575",97,"could be a"
"576",97,"for more information"
"577",97,"for the day"
"578",97,"i wonder if"
"579",97,"if i had"
"580",97,"in the new"
"581",97,"that i had"
"582",97,"that there are"
"583",97,"the history of"
"584",97,"the next day"
"585",97,"to all of"
"586",97,"to do this"
"587",97,"to pick up"
"588",96,"be one of"
"589",96,"in the air"
"590",96,"in the back"
"591",96,"right now i"
"592",96,"the st louis"
"593",96,"the story of"
"594",95,"for the past"
"595",95,"get back to"
"596",95,"get to the"
"597",95,"its been a"
"598",95,"of the way"
"599",95,"the heart of"
"600",95,"the right to"
"601",95,"the size of"
"602",95,"they need to"
"603",95,"to get back"
"604",95,"to meet you"
"605",95,"were able to"
"606",95,"who wants to"
"607",94,"and i had"
"608",94,"every time i"
"609",94,"know what you"
"610",94,"or at least"
"611",94,"see you there"
"612",94,"the time to"
"613",94,"want to know"
"614",94,"you and your"
"615",93,"and i are"
"616",93,"feel like i"
"617",93,"for me i"
"618",93,"happy birthday to"
"619",93,"in one of"
"620",93,"is part of"
"621",93,"it on the"
"622",93,"me and i"
"623",93,"of the other"
"624",93,"on the same"
"625",93,"some of my"
"626",93,"to be more"
"627",93,"wait for the"
"628",93,"was a great"
"629",93,"you are not"
"630",92,"a great weekend"
"631",92,"and you can"
"632",92,"is such a"
"633",92,"one of his"
"634",92,"this is my"
"635",92,"to check out"
"636",92,"to get it"
"637",91,"and have a"
"638",91,"and this is"
"639",91,"could have been"
"640",91,"feel free to"
"641",91,"for a new"
"642",91,"he wants to"
"643",91,"id like to"
"644",91,"much as i"
"645",91,"of the people"
"646",91,"of the same"
"647",91,"to come to"
"648",91,"to see how"
"649",90,"able to get"
"650",90,"day of the"
"651",90,"i think you"
"652",90,"im pretty sure"
"653",90,"just a few"
"654",90,"of the book"
"655",90,"on the ground"
"656",90,"out on the"
"657",90,"so we can"
"658",90,"to the next"
"659",90,"we are all"
"660",89,"a year ago"
"661",89,"along the way"
"662",89,"along with the"
"663",89,"dont have a"
"664",89,"for a long"
"665",89,"i cant believe"
"666",89,"if there is"
"667",89,"in the game"
"668",89,"in the th"
"669",89,"it might be"
"670",89,"more of a"
"671",89,"so much fun"
"672",89,"the power of"
"673",89,"there are many"
"674",89,"to go back"
"675",89,"will be able"
"676",88,"but there is"
"677",88,"didnt want to"
"678",88,"for all of"
"679",88,"looks like a"
"680",88,"so you can"
"681",88,"the most important"
"682",88,"to the new"
"683",88,"up in a"
"684",87,"a bit more"
"685",87,"a few of"
"686",87,"back on the"
"687",87,"for some reason"
"688",87,"i have never"
"689",87,"id love to"
"690",87,"it was so"
"691",87,"out of a"
"692",87,"the other day"
"693",87,"to me i"
"694",87,"to watch the"
"695",87,"was on the"
"696",86,"a fan of"
"697",86,"a lot to"
"698",86,"are you going"
"699",86,"be a great"
"700",86,"i dont like"
"701",86,"i tried to"
"702",86,"it was not"
"703",86,"my way to"
"704",86,"people in the"
"705",86,"the importance of"
"706",86,"the majority of"
"707",86,"wanted to be"
"708",86,"where are you"
"709",85,"a good time"
"710",85,"a look at"
"711",85,"all of my"
"712",85,"and for the"
"713",85,"but i cant"
"714",85,"i can get"
"715",85,"i try to"
"716",85,"it was an"
"717",85,"it was just"
"718",85,"know if you"
"719",85,"that will be"
"720",85,"the lack of"
"721",85,"to the point"
"722",85,"what i was"
"723",85,"you in the"
"724",84,"a few minutes"
"725",84,"a sense of"
"726",84,"be part of"
"727",84,"hall of fame"
"728",84,"have to get"
"729",84,"he has been"
"730",84,"i guess i"
"731",84,"in the meantime"
"732",84,"in the way"
"733",84,"may have been"
"734",84,"on the back"
"735",84,"parts of the"
"736",84,"that we have"
"737",84,"the age of"
"738",84,"to see it"
"739",83,"and i know"
"740",83,"at least a"
"741",83,"don’t want to"
"742",83,"dont forget to"
"743",83,"he wanted to"
"744",83,"i think im"
"745",83,"is trying to"
"746",83,"just wanted to"
"747",83,"little bit of"
"748",83,"on how to"
"749",83,"out to the"
"750",83,"shout out to"
"751",83,"the death of"
"752",83,"there are some"
"753",83,"they have a"
"754",83,"we had to"
"755",83,"what you think"
"756",83,"when you have"
"757",83,"will continue to"
"758",83,"you are the"
"759",82,"across the country"
"760",82,"first time in"
"761",82,"for at least"
"762",82,"going to make"
"763",82,"he had a"
"764",82,"in a while"
"765",82,"in st louis"
"766",82,"it may be"
"767",82,"that is not"
"768",82,"that kind of"
"769",82,"the state of"
"770",82,"to get my"
"771",82,"to get some"
"772",82,"when you are"
"773",81,"and his wife"
"774",81,"and i can"
"775",81,"and there are"
"776",81,"as i was"
"777",81,"at the moment"
"778",81,"but i do"
"779",81,"but there are"
"780",81,"but this is"
"781",81,"come to the"
"782",81,"had no idea"
"783",81,"how much i"
"784",81,"nothing to do"
"785",81,"the way the"
"786",81,"to find the"
"787",81,"to think about"
"788",81,"two of the"
"789",81,"want to make"
"790",81,"you going to"
"791",80,"and i love"
"792",80,"and that is"
"793",80,"and the other"
"794",80,"and we are"
"795",80,"get rid of"
"796",80,"he is a"
"797",80,"i dont even"
"798",80,"need to do"
"799",80,"not to be"
"800",80,"on the right"
"801",80,"on to the"
"802",80,"over the next"
"803",80,"people who are"
"804",80,"ready for the"
"805",80,"rt if you"
"806",80,"the center of"
"807",80,"the difference between"
"808",80,"time in the"
"809",80,"to tell you"
"810",79,"a picture of"
"811",79,"all of them"
"812",79,"are a few"
"813",79,"are you doing"
"814",79,"be the best"
"815",79,"early in the"
"816",79,"have to make"
"817",79,"i just got"
"818",79,"i like it"
"819",79,"in new jersey"
"820",79,"in the third"
"821",79,"in which the"
"822",79,"that he is"
"823",79,"that you have"
"824",79,"the same as"
"825",79,"the world and"
"826",79,"they will be"
"827",79,"was trying to"
"828",79,"what is your"
"829",79,"will be at"
"830",79,"wish i was"
"831",79,"youre going to"
"832",78,"all of this"
"833",78,"as good as"
"834",78,"he was the"
"835",78,"i could have"
"836",78,"if you were"
"837",78,"it would have"
"838",78,"let you know"
"839",78,"the federal government"
"840",78,"the world of"
"841",78,"to be honest"
"842",78,"to have been"
"843",78,"to the world"
"844",78,"what it is"
"845",78,"you can find"
"846",78,"you dont want"
"847",78,"you have any"
"848",78,"you have the"
"849",77,"a man who"
"850",77,"because it is"
"851",77,"but i was"
"852",77,"dont know if"
"853",77,"happy new year"
"854",77,"i am in"
"855",77,"i am the"
"856",77,"i dont care"
"857",77,"in the car"
"858",77,"on the phone"
"859",77,"out of it"
"860",77,"reminds me of"
"861",77,"some sort of"
"862",77,"the day i"
"863",77,"the face of"
"864",77,"to catch up"
"865",77,"to focus on"
"866",77,"to get in"
"867",77,"up at the"
"868",77,"what i want"
"869",76,"best way to"
"870",76,"i am sure"
"871",76,"i know what"
"872",76,"i was so"
"873",76,"im not going"
"874",76,"in high school"
"875",76,"in the day"
"876",76,"in the process"
"877",76,"is to be"
"878",76,"place in the"
"879",76,"really want to"
"880",76,"that i would"
"881",76,"the last two"
"882",76,"the process of"
"883",76,"this year and"
"884",76,"to go out"
"885",76,"to go with"
"886",76,"to say i"
"887",76,"to the public"
"888",76,"to try and"
"889",76,"what you want"
"890",76,"will have a"
"891",76,"wish i had"
"892",75,"at some point"
"893",75,"because it was"
"894",75,"can be a"
"895",75,"forward to the"
"896",75,"getting ready to"
"897",75,"i had no"
"898",75,"i should be"
"899",75,"in other words"
"900",75,"in san francisco"
"901",75,"lot of time"
"902",75,"thanks for sharing"
"903",75,"that it would"
"904",75,"the department of"
"905",75,"the last few"
"906",75,"the side of"
"907",75,"them in the"
"908",75,"way to the"
"909",75,"which is a"
"910",75,"you dont know"
"911",75,"you know the"
"912",75,"you think you"
"913",74,"a few more"
"914",74,"a good idea"
"915",74,"a kind of"
"916",74,"and that the"
"917",74,"and there is"
"918",74,"be at the"
"919",74,"do the same"
"920",74,"going to see"
"921",74,"i love my"
"922",74,"if i could"
"923",74,"if you need"
"924",74,"im trying to"
"925",74,"in los angeles"
"926",74,"in the right"
"927",74,"is a little"
"928",74,"me know if"
"929",74,"one of these"
"930",74,"that i dont"
"931",74,"the best way"
"932",74,"the things that"
"933",74,"the time of"
"934",74,"version of the"
"935",74,"you know i"
"936",73,"a few hours"
"937",73,"a result of"
"938",73,"as you can"
"939",73,"back into the"
"940",73,"for us to"
"941",73,"forward to seeing"
"942",73,"going to go"
"943",73,"gonna be a"
"944",73,"i dont get"
"945",73,"i got the"
"946",73,"i want a"
"947",73,"if i can"
"948",73,"if it is"
"949",73,"if you do"
"950",73,"im not a"
"951",73,"in a small"
"952",73,"it was great"
"953",73,"look like a"
"954",73,"men and women"
"955",73,"now i have"
"956",73,"of course the"
"957",73,"return to the"
"958",73,"they are not"
"959",73,"they have to"
"960",73,"to live in"
"961",73,"was a bit"
"962",73,"we can do"
"963",73,"we dont have"
"964",73,"when she was"
"965",73,"who has been"
"966",73,"you had a"
"967",72,"and he was"
"968",72,"but in the"
"969",72,"do you want"
"970",72,"i know it"
"971",72,"i should have"
"972",72,"i was able"
"973",72,"in recent years"
"974",72,"in the final"
"975",72,"in this case"
"976",72,"is a lot"
"977",72,"it to be"
"978",72,"looking at the"
"979",72,"love to see"
"980",72,"ready to go"
"981",72,"that can be"
"982",72,"the house and"
"983",72,"think about it"
"984",72,"to everyone who"
"985",72,"was supposed to"
"986",72,"whether or not"
"987",71,"and one of"
"988",71,"and then i"
"989",71,"and will be"
"990",71,"are the best"
"991",71,"for me and"
"992",71,"he has a"
"993",71,"i go to"
"994",71,"i have had"
"995",71,"in the room"
"996",71,"is what i"
"997",71,"it as a"
"998",71,"it is so"
"999",71,"it makes me"
"1000",71,"last time i"
"1001",71,"no idea what"
"1002",71,"of the month"
"1003",71,"some of them"
"1004",71,"that has been"
"1005",71,"that he had"
"1006",71,"the los angeles"
"1007",71,"the point of"
"1008",71,"the second half"
"1009",71,"the world is"
"1010",71,"to worry about"
"1011",71,"we can get"
"1012",71,"when it was"
"1013",71,"would not be"
"1014",70,"an opportunity to"
"1015",70,"appears to be"
"1016",70,"are looking for"
"1017",70,"at one point"
"1018",70,"for a great"
"1019",70,"give it a"
"1020",70,"give me a"
"1021",70,"had a good"
"1022",70,"has not been"
"1023",70,"here is a"
"1024",70,"i’m going to"
"1025",70,"if i was"
"1026",70,"its gonna be"
"1027",70,"know what i"
"1028",70,"know what to"
"1029",70,"me and my"
"1030",70,"much for the"
"1031",70,"of the night"
"1032",70,"on the first"
"1033",70,"on the radio"
"1034",70,"on the side"
"1035",70,"some kind of"
"1036",70,"thank you i"
"1037",70,"that we can"
"1038",70,"the one that"
"1039",70,"the right thing"
"1040",70,"to become a"
"1041",70,"to come back"
"1042",70,"to get into"
"1043",70,"to start the"
"1044",70,"welcome to the"
"1045",70,"were in the"
"1046",70,"what happened to"
"1047",70,"you are in"
"1048",70,"you can be"
"1049",70,"you get a"
"1050",69,"and on the"
"1051",69,"are so many"
"1052",69,"but they are"
"1053",69,"i am still"
"1054",69,"in the uk"
"1055",69,"is like a"
"1056",69,"make sure to"
"1057",69,"not want to"
"1058",69,"of more than"
"1059",69,"of the city"
"1060",69,"of the state"
"1061",69,"of the top"
"1062",69,"on the new"
"1063",69,"over the weekend"
"1064",69,"the first half"
"1065",69,"the past few"
"1066",69,"this was the"
"1067",69,"to return to"
"1068",69,"wanted to do"
"1069",69,"was at the"
"1070",69,"whats going on"
"1071",69,"who you are"
"1072",69,"you at the"
"1073",68,"a trip to"
"1074",68,"and when i"
"1075",68,"are on the"
"1076",68,"back and forth"
"1077",68,"but im not"
"1078",68,"close to the"
"1079",68,"did you get"
"1080",68,"few years ago"
"1081",68,"for a couple"
"1082",68,"friends and family"
"1083",68,"go to bed"
"1084",68,"hope you have"
"1085",68,"i hate when"
"1086",68,"i just dont"
"1087",68,"i know you"
"1088",68,"in favor of"
"1089",68,"it but i"
"1090",68,"know that i"
"1091",68,"listening to the"
"1092",68,"on the field"
"1093",68,"she said she"
"1094",68,"so excited to"
"1095",68,"that i will"
"1096",68,"thats what i"
"1097",68,"the life of"
"1098",68,"the need to"
"1099",68,"the sound of"
"1100",68,"to change the"
"1101",68,"to the state"
"1102",68,"to think of"
"1103",68,"way to go"
"1104",67,"a few months"
"1105",67,"a way that"
"1106",67,"all is well"
"1107",67,"and we have"
"1108",67,"because they are"
"1109",67,"came to the"
"1110",67,"came up with"
"1111",67,"first time i"
"1112",67,"for the ff"
"1113",67,"i needed to"
"1114",67,"i still have"
"1115",67,"i will not"
"1116",67,"in a new"
"1117",67,"is about to"
"1118",67,"is that i"
"1119",67,"like to see"
"1120",67,"might have been"
"1121",67,"need to know"
"1122",67,"should not be"
"1123",67,"so proud of"
"1124",67,"the chance to"
"1125",67,"to do what"
"1126",67,"up and down"
"1127",67,"we all know"
"1128",67,"will be on"
"1129",67,"you are so"
"1130",66,"addition to the"
"1131",66,"around the corner"
"1132",66,"as opposed to"
"1133",66,"back of the"
"1134",66,"be the first"
"1135",66,"each of the"
"1136",66,"even though i"
"1137",66,"excited to be"
"1138",66,"for the mention"
"1139",66,"great way to"
"1140",66,"i could be"
"1141",66,"i woke up"
"1142",66,"is all about"
"1143",66,"is so much"
"1144",66,"it and i"
"1145",66,"my best friend"
"1146",66,"need to make"
"1147",66,"of one of"
"1148",66,"president barack obama"
"1149",66,"thanks to the"
"1150",66,"that have been"
"1151",66,"the future of"
"1152",66,"the need for"
"1153",66,"the way it"
"1154",66,"there are so"
"1155",66,"time for a"
"1156",66,"time of year"
"1157",66,"to know what"
"1158",66,"to me and"
"1159",66,"to stay in"
"1160",66,"waiting for the"
"1161",66,"want you to"
"1162",66,"way to get"
"1163",66,"when you get"
"1164",65,"a great job"
"1165",65,"a ton of"
"1166",65,"all of our"
"1167",65,"at the beginning"
"1168",65,"awkward moment when"
"1169",65,"be a part"
"1170",65,"can i get"
"1171",65,"do not have"
"1172",65,"getting ready for"
"1173",65,"grew up in"
"1174",65,"i think of"
"1175",65,"is a bit"
"1176",65,"it is also"
"1177",65,"last year and"
"1178",65,"make sure that"
"1179",65,"not so much"
"1180",65,"not to mention"
"1181",65,"out how to"
"1182",65,"that he would"
"1183",65,"the last years"
"1184",65,"thing to do"
"1185",65,"this is one"
"1186",65,"to know that"
"1187",65,"to me that"
"1188",65,"to new york"
"1189",65,"two years ago"
"1190",65,"while i was"
"1191",65,"working on a"
"1192",64,"a great deal"
"1193",64,"do with the"
"1194",64,"earlier this year"
"1195",64,"executive director of"
"1196",64,"for them to"
"1197",64,"get ready for"
"1198",64,"get to see"
"1199",64,"going on in"
"1200",64,"have to take"
"1201",64,"he is the"
"1202",64,"he was in"
"1203",64,"i knew i"
"1204",64,"in a long"
"1205",64,"in the case"
"1206",64,"in the late"
"1207",64,"is also a"
"1208",64,"is just a"
"1209",64,"is there a"
"1210",64,"it has a"
"1211",64,"it turned out"
"1212",64,"last year the"
"1213",64,"need to go"
"1214",64,"of the things"
"1215",64,"on in the"
"1216",64,"she said i"
