"","sort.n4gramstats..decreasing...T.","last"
"80",62,"most of the time"
"81",61,"have a great weekend"
"82",60,"as one of the"
"83",60,"end of the day"
"84",60,"i feel like i"
"85",60,"in the first place"
"86",60,"the first time i"
"87",59,"happy mothers day to"
"88",59,"i thought it was"
"89",59,"nothing to do with"
"90",58,"as soon as i"
"91",58,"for a long time"
"92",58,"i look forward to"
"93",58,"turned out to be"
"94",58,"when i was a"
"95",58,"you dont have to"
"96",57,"a part of the"
"97",57,"as a result of"
"98",57,"do you have a"
"99",57,"for a couple of"
"100",57,"so much for the"
"101",56,"i dont know if"
"102",56,"in a way that"
"103",56,"looking forward to seeing"
"104",56,"on the way to"
"105",55,"on the other side"
"106",55,"the fact that the"
"107",54,"had a great time"
"108",54,"had a lot of"
"109",54,"in the form of"
"110",54,"the beginning of the"
"111",54,"this is one of"
"112",54,"to be part of"
"113",54,"you dont want to"
"114",53,"as well as a"
"115",53,"i dont know how"
"116",53,"in the face of"
"117",53,"in the midst of"
"118",53,"to go back to"
"119",52,"cant wait for the"
"120",52,"did you know that"
"121",52,"in addition to the"
"122",52,"that awkward moment when"
"123",51,"as part of a"
"124",51,"in new york city"
"125",50,"a great way to"
"126",50,"i had no idea"
"127",50,"we are going to"
"128",50,"you so much for"
"129",49,"i wish i had"
"130",49,"looking forward to it"
"131",49,"to do with the"
"132",49,"trying to figure out"
"133",49,"with the help of"
"134",48,"in the late s"
"135",48,"looking forward to the"
"136",48,"one of the first"
"137",48,"the fact that i"
"138",48,"to get rid of"
"139",47,"are a lot of"
"140",47,"i cant wait for"
"141",47,"i don’t want to"
"142",47,"im going to be"
"143",47,"in an effort to"
"144",47,"not going to be"
"145",47,"the other side of"
"146",47,"there will be a"
"147",47,"you want to be"
"148",46,"at the beginning of"
"149",46,"for a few days"
"150",46,"for the shout out"
"151",46,"hope you have a"
"152",46,"i dont think i"
"153",46,"i wish i was"
"154",46,"is one of my"
"155",46,"there are a lot"
"156",46,"to come up with"
"157",46,"to get to the"
"158",45,"he was going to"
"159",45,"in the early s"
"160",45,"of the united states"
"161",45,"thanks for the ff"
"162",45,"wait to see you"
"163",44,"a spokesman for the"
"164",44,"all over the world"
"165",44,"be one of the"
"166",44,"for the most part"
"167",44,"it was a great"
"168",44,"on top of the"
"169",44,"thanks for the shout"
"170",43,"a lot of the"
"171",43,"at the bottom of"
"172",43,"from am to pm"
"173",43,"in one of the"
"174",43,"me know if you"
"175",43,"the center of the"
"176",43,"the last time i"
"177",43,"the rest of my"
"178",42,"hope all is well"
"179",42,"it was a good"
"180",42,"thanks for the mention"
"181",42,"the new york times"
"182",42,"to take care of"
"183",42,"what are you doing"
"184",41,"executive director of the"
"185",41,"in a long time"
"186",41,"in front of me"
"187",41,"in the second half"
"188",41,"one of the few"
"189",41,"thank you for your"
"190",41,"thanks to everyone who"
"191",41,"the start of the"
"192",41,"to be one of"
"193",41,"you are going to"
"194",40,"all over the place"
"195",40,"can i get a"
"196",40,"i thought i was"
"197",40,"in front of a"
"198",40,"in the history of"
"199",40,"over and over again"
"200",40,"take a look at"
"201",40,"thought it would be"
"202",40,"to be a part"
"203",39,"a lot of fun"
"204",39,"and i have to"
"205",39,"i didnt want to"
"206",39,"i want to do"
"207",39,"im looking forward to"
"208",39,"in the process of"
"209",39,"the rest of us"
"210",39,"to get back to"
"211",39,"to make sure that"
"212",39,"you have to be"
"213",38,"a couple of weeks"
"214",38,"have been able to"
"215",38,"in the bottom of"
"216",38,"let me know what"
"217",38,"may or may not"
"218",38,"other side of the"
"219",38,"the side of the"
"220",38,"this is the first"
"221",38,"this time of year"
"222",38,"to be on the"
"223",38,"what to do with"
"224",37,"a lot of things"
"225",37,"at the start of"
"226",37,"cant wait to get"
"227",37,"from time to time"
"228",37,"had a chance to"
"229",37,"have to go to"
"230",37,"here are a few"
"231",37,"i just wanted to"
"232",37,"i want to see"
"233",37,"if you have any"
"234",37,"in and out of"
"235",37,"in the case of"
"236",37,"is a lot of"
"237",37,"is supposed to be"
"238",37,"it would have been"
"239",37,"the only way to"
"240",37,"this is going to"
"241",36,"a few of the"
"242",36,"a great deal of"
"243",36,"and the rest of"
"244",36,"be able to get"
"245",36,"find a way to"
"246",36,"for more than a"
"247",36,"have a chance to"
"248",36,"i am not a"
"249",36,"i dont know why"
"250",36,"i need to get"
"251",36,"i want to go"
"252",36,"if you are a"
"253",36,"in the back of"
"254",36,"in the first quarter"
"255",36,"is one of those"
"256",36,"of one of the"
"257",36,"the end of this"
"258",36,"the first time since"
"259",36,"the size of the"
"260",36,"what i want to"
"261",35,"a couple of days"
"262",35,"at a time when"
"263",35,"do you want to"
"264",35,"end of the year"
"265",35,"figure out how to"
"266",35,"i have a feeling"
"267",35,"it will be a"
"268",35,"on the side of"
"269",35,"out to be a"
"270",35,"the name of the"
"271",35,"the only thing that"
"272",35,"want to go to"
"273",35,"what is your favorite"
"274",35,"you have to do"
"275",34,"a lot of money"
"276",34,"and a lot of"
"277",34,"at the time of"
"278",34,"do you have any"
"279",34,"i dont have a"
"280",34,"i hate it when"
"281",34,"it has been a"
"282",34,"it needs to be"
"283",34,"it was one of"
"284",34,"know what to do"
"285",34,"more than a year"
"286",34,"some of the most"
"287",34,"thank you to all"
"288",34,"theres a lot of"
"289",34,"to figure out how"
"290",34,"to keep up with"
"291",34,"to the fact that"
"292",34,"will be in the"
"293",34,"you have a great"
"294",33,"and one of the"
"295",33,"going to be the"
"296",33,"in the name of"
"297",33,"in the s and"
"298",33,"in the wake of"
"299",33,"is part of the"
"300",33,"it was going to"
"301",33,"know what you think"
"302",33,"mothers day to all"
"303",33,"nice to meet you"
"304",33,"not being able to"
"305",33,"player of the year"
"306",33,"should be able to"
"307",33,"some of the best"
"308",33,"thanks for all the"
"309",33,"the front of the"
"310",33,"the heart of the"
"311",33,"there is a lot"
"312",33,"those of you who"
"313",33,"when i was in"
"314",33,"would have to be"
"315",33,"would love to see"
"316",32,"a few weeks ago"
"317",32,"all of a sudden"
"318",32,"all the way to"
"319",32,"by the time i"
"320",32,"contributed to this report"
"321",32,"for those of you"
"322",32,"i am trying to"
"323",32,"i really want to"
"324",32,"i went to the"
"325",32,"in the center of"
"326",32,"in the first half"
"327",32,"makes me want to"
"328",32,"on a regular basis"
"329",32,"on the back of"
"330",32,"one of the top"
"331",32,"rest of the day"
"332",32,"thanks for the retweet"
"333",32,"this is not a"
"334",32,"this is what i"
"335",31,"a couple of years"
"336",31,"awkward moment when you"
"337",31,"come up with a"
"338",31,"dont know how to"
"339",31,"for the sake of"
"340",31,"get out of the"
"341",31,"going to have a"
"342",31,"i have to go"
"343",31,"in the near future"
"344",31,"it has to be"
"345",31,"love you so much"
"346",31,"one of the biggest"
"347",31,"over the course of"
"348",31,"the majority of the"
"349",31,"the us department of"
"350",31,"the way to the"
"351",31,"we look forward to"
"352",31,"will be at the"
"353",31,"wont be able to"
"354",31,"you might want to"
"355",31,"you want to see"
"356",30,"a lot of work"
"357",30,"am i the only"
"358",30,"at the age of"
"359",30,"but there is a"
"360",30,"for most of the"
"361",30,"have to do is"
"362",30,"i dont know about"
"363",30,"i love you so"
"364",30,"i thought it would"
"365",30,"i was trying to"
"366",30,"in the fourth quarter"
"367",30,"in the world of"
"368",30,"it is going to"
"369",30,"once in a while"
"370",30,"one of the reasons"
"371",30,"open to the public"
"372",30,"please let me know"
"373",30,"so i decided to"
"374",30,"the first half of"
"375",30,"the history of the"
"376",30,"the th anniversary of"
"377",30,"they are going to"
"378",30,"to give it a"
"379",30,"was the first time"
"380",30,"we were able to"
"381",30,"what do you do"
"382",30,"what is going on"
"383",30,"you just have to"
"384",29,"a whole lot of"
"385",29,"as you can see"
"386",29,"both sides of the"
"387",29,"but i have to"
"388",29,"cant wait to go"
"389",29,"fall in love with"
"390",29,"for a lot of"
"391",29,"i dont have to"
"392",29,"i have to be"
"393",29,"i miss you too"
"394",29,"in the third quarter"
"395",29,"is a good thing"
"396",29,"let me know when"
"397",29,"out of the way"
"398",29,"thanks for following me"
"399",29,"the only one who"
"400",29,"the united states and"
"401",29,"there are a few"
"402",29,"to all of you"
"403",29,"to be a good"
"404",29,"was one of those"
"405",28,"get a chance to"
"406",28,"has nothing to do"
"407",28,"have no idea what"
"408",28,"hope you had a"
"409",28,"i thought i would"
"410",28,"in an attempt to"
"411",28,"in my life i"
"412",28,"it was the first"
"413",28,"of some of the"
"414",28,"thanks for the support"
"415",28,"that i have to"
"416",28,"that it would be"
"417",28,"the last couple of"
"418",28,"to go to work"
"419",28,"to the united states"
"420",28,"with the rest of"
"421",27,"about percent of the"
"422",27,"and i want to"
"423",27,"as far as i"
"424",27,"as long as the"
"425",27,"at the time the"
"426",27,"back in the day"
"427",27,"fell in love with"
"428",27,"i am not sure"
"429",27,"i can tell you"
"430",27,"i feel like im"
"431",27,"i think it is"
"432",27,"i think this is"
"433",27,"i was in the"
"434",27,"in the first round"
"435",27,"in the hands of"
"436",27,"in the past year"
"437",27,"in the right direction"
"438",27,"in the same way"
"439",27,"is expected to be"
"440",27,"just got back from"
"441",27,"more than half of"
"442",27,"no such thing as"
"443",27,"of the fact that"
"444",27,"one of the things"
"445",27,"spent a lot of"
"446",27,"the fact that we"
"447",27,"the s and s"
"448",27,"this is a great"
"449",27,"those of us who"
"450",27,"to deal with the"
"451",27,"to figure out what"
"452",27,"to learn more about"
"453",27,"to play in the"
"454",27,"to take advantage of"
"455",27,"want to be a"
"456",27,"with a lot of"
"457",27,"would you like to"
"458",26,"a big fan of"
"459",26,"a few months ago"
"460",26,"are going to have"
"461",26,"as a way to"
"462",26,"but i dont think"
"463",26,"did not want to"
"464",26,"go back to the"
"465",26,"going to be in"
"466",26,"good to see you"
"467",26,"got a lot of"
"468",26,"i felt like i"
"469",26,"i have a lot"
"470",26,"i have to do"
"471",26,"i need to be"
"472",26,"if there is a"
"473",26,"if you dont have"
"474",26,"in love with the"
"475",26,"in the way of"
"476",26,"it is important to"
"477",26,"it thanks for the"
"478",26,"its gonna be a"
"479",26,"make it to the"
"480",26,"my husband and i"
"481",26,"on the same page"
"482",26,"one of the greatest"
"483",26,"thank you for all"
"484",26,"thank you very much"
"485",26,"that there is a"
"486",26,"the first day of"
"487",26,"the president of the"
"488",26,"the time of the"
"489",26,"to make sure i"
"490",26,"was supposed to be"
"491",26,"what was going on"
"492",26,"would be a good"
"493",26,"would have been a"
"494",25,"a huge fan of"
"495",25,"a look at the"
"496",25,"and most of the"
"497",25,"at the time and"
"498",25,"be part of the"
"499",25,"could not be reached"
"500",25,"do i have to"
"501",25,"forward to seeing you"
"502",25,"from the university of"
"503",25,"i get to see"
"504",25,"i wanted to do"
"505",25,"in order to get"
"506",25,"in the morning and"
"507",25,"in the parking lot"
"508",25,"in the world and"
"509",25,"is going to have"
"510",25,"it was great to"
"511",25,"keep up the good"
"512",25,"let us know if"
"513",25,"more than a decade"
"514",25,"not be able to"
"515",25,"on a daily basis"
"516",25,"one of the largest"
"517",25,"the end of a"
"518",25,"the middle of a"
"519",25,"the most important thing"
"520",25,"the number of people"
"521",25,"the right thing to"
"522",25,"there are plenty of"
"523",25,"want to make sure"
"524",25,"with the exception of"
"525",25,"would like to see"
"526",25,"you know what i"
"527",25,"you would like to"
"528",24,"a copy of the"
"529",24,"a friend of mine"
"530",24,"a long time ago"
"531",24,"and i have a"
"532",24,"and i will be"
"533",24,"and the fact that"
"534",24,"as much as possible"
"535",24,"at this point i"
"536",24,"be sure to check"
"537",24,"cant wait to hear"
"538",24,"declined to comment on"
"539",24,"for all of us"
"540",24,"great to see you"
"541",24,"had so much fun"
"542",24,"have no idea how"
"543",24,"how much i love"
"544",24,"hundreds of thousands of"
"545",24,"i have to admit"
"546",24,"i know that i"
"547",24,"i want you to"
"548",24,"in a couple of"
"549",24,"in a lot of"
"550",24,"it is hard to"
"551",24,"me know what you"
"552",24,"on the edge of"
"553",24,"on top of that"
"554",24,"said in an email"
"555",24,"said in an interview"
"556",24,"thank you for following"
"557",24,"that i had to"
"558",24,"that it was a"
"559",24,"the back of my"
"560",24,"the best part of"
"561",24,"the idea of a"
"562",24,"the second half of"
"563",24,"the state department of"
"564",24,"to be a great"
"565",24,"to be the best"
"566",24,"to get into the"
"567",24,"to go out and"
"568",24,"to say the least"
"569",24,"to share with you"
"570",24,"to the point where"
"571",24,"would be able to"
"572",24,"you for the follow"
"573",24,"you please follow me"
"574",23,"a lot of it"
"575",23,"a result of the"
"576",23,"a wide range of"
"577",23,"and all of the"
"578",23,"as long as you"
"579",23,"at the heart of"
"580",23,"at the very least"
"581",23,"be reached for comment"
"582",23,"day of the week"
"583",23,"for one of the"
"584",23,"have a hard time"
"585",23,"i dont think its"
"586",23,"i hope you have"
"587",23,"i really need to"
"588",23,"i was a little"
"589",23,"i would have to"
"590",23,"if you look at"
"591",23,"ill let you know"
"592",23,"in the heart of"
"593",23,"in the real world"
"594",23,"it used to be"
"595",23,"just wanted to say"
"596",23,"looking forward to a"
"597",23,"made it to the"
"598",23,"middle of the night"
"599",23,"need to go to"
"600",23,"not a fan of"
"601",23,"of the time i"
"602",23,"one of my favourite"
"603",23,"one of those days"
"604",23,"out of the house"
"605",23,"rest of the world"
"606",23,"something to do with"
"607",23,"supposed to be a"
"608",23,"take the time to"
"609",23,"thanks for the shoutout"
"610",23,"that it is a"
"611",23,"the power of the"
"612",23,"there is so much"
"613",23,"to be honest i"
"614",23,"to find a way"
"615",23,"to return to the"
"616",23,"to see you at"
"617",23,"to see you on"
"618",23,"to see you there"
"619",23,"to some of the"
"620",23,"told the associated press"
"621",23,"up and down the"
"622",23,"wait to see what"
"623",23,"want to know what"
"624",23,"was a bit of"
"625",23,"we need to get"
"626",23,"were going to be"
"627",23,"with salt and pepper"
"628",23,"you can see the"
"629",23,"you have any questions"
"630",23,"you need to know"
"631",23,"you want me to"
"632",22,"a good place to"
"633",22,"a great place to"
"634",22,"a little more than"
"635",22,"a wide variety of"
"636",22,"all the time and"
"637",22,"am looking forward to"
"638",22,"and out of the"
"639",22,"are some of the"
"640",22,"be able to do"
"641",22,"by the fact that"
"642",22,"did a great job"
"643",22,"end of the month"
"644",22,"for more information call"
"645",22,"get a lot of"
"646",22,"happy birthday to my"
"647",22,"i have decided to"
"648",22,"i love it when"
"649",22,"i love you i"
"650",22,"i love you too"
"651",22,"i need to go"
"652",22,"i the only one"
"653",22,"i think i might"
"654",22,"i want to know"
"655",22,"i want to make"
"656",22,"i wanted to be"
"657",22,"i was a kid"
"658",22,"i was in a"
"659",22,"if you are not"
"660",22,"if you ask me"
"661",22,"if you want a"
"662",22,"in a small bowl"
"663",22,"is it just me"
"664",22,"is the first time"
"665",22,"it was time to"
"666",22,"just around the corner"
"667",22,"just in time for"
"668",22,"let us know what"
"669",22,"look forward to the"
"670",22,"lord of the rings"
"671",22,"not to mention the"
"672",22,"of the university of"
"673",22,"of the year and"
"674",22,"on the part of"
"675",22,"on the verge of"
"676",22,"other parts of the"
"677",22,"over the past year"
"678",22,"really looking forward to"
"679",22,"right thing to do"
"680",22,"said at the time"
"681",22,"so excited to be"
"682",22,"that there is no"
"683",22,"that we need to"
"684",22,"the cause of the"
"685",22,"the first time that"
"686",22,"the head of the"
"687",22,"the hell out of"
"688",22,"the nature of the"
"689",22,"the one and only"
"690",22,"the remainder of the"
"691",22,"think im going to"
"692",22,"to a lot of"
"693",22,"to all of the"
"694",22,"to catch up on"
"695",22,"to do the same"
"696",22,"to find out what"
"697",22,"to hear from you"
"698",22,"to talk to you"
"699",22,"to the end of"
"700",22,"to work with the"
"701",22,"two and a half"
"702",22,"want to do is"
"703",22,"was able to get"
"704",22,"why is it that"
"705",22,"year and a half"
"706",22,"you have to go"
"707",22,"you thanks for the"
"708",22,"you want to do"
"709",21,"a couple of times"
"710",21,"a good time to"
"711",21,"a trip to the"
"712",21,"all the time i"
"713",21,"and i had a"
"714",21,"and i think i"
"715",21,"and there is no"
"716",21,"as a result the"
"717",21,"but i have a"
"718",21,"do i need to"
"719",21,"do the right thing"
"720",21,"for a chance to"
"721",21,"for a few minutes"
"722",21,"for the follow i"
"723",21,"g fat g saturated"
"724",21,"give it a try"
"725",21,"have to make a"
"726",21,"have to worry about"
"727",21,"how are you doing"
"728",21,"i dont even know"
"729",21,"i hate when people"
"730",21,"i have to get"
"731",21,"i have yet to"
"732",21,"i need to do"
"733",21,"i need to make"
"734",21,"i think it was"
"735",21,"i will be in"
"736",21,"if i want to"
"737",21,"if you are interested"
"738",21,"if you live in"
"739",21,"if you would like"
"740",21,"in a few weeks"
"741",21,"in the city of"
"742",21,"in the long run"
"743",21,"in the us and"
"744",21,"it is one of"
"745",21,"it seems to me"
"746",21,"keep an eye on"
"747",21,"let me tell you"
"748",21,"may be able to"
"749",21,"more than million in"
"750",21,"more than percent of"
"751",21,"my way to the"
"752",21,"of the people who"
"753",21,"once upon a time"
"754",21,"over the last few"
"755",21,"so i can get"
"756",21,"so i had to"
"757",21,"so much so that"
"758",21,"thank you to everyone"
"759",21,"thanks to all who"
"760",21,"that needs to be"
"761",21,"the edge of the"
"762",21,"the good news is"
"763",21,"the last few years"
"764",21,"the part of the"
"765",21,"the same kind of"
"766",21,"there is no way"
"767",21,"to be a long"
"768",21,"to be in a"
"769",21,"to go to bed"
"770",21,"to let you know"
"771",21,"to look forward to"
"772",21,"to say that i"
"773",21,"to the next level"
"774",21,"up in the morning"
"775",21,"up the good work"
"776",21,"want it to be"
"777",21,"we are in the"
"778",21,"would be a great"
"779",21,"would love to have"
"780",21,"you are in the"
"781",21,"you for the rt"
"782",20,"a chance to win"
"783",20,"a couple of months"
"784",20,"a good way to"
"785",20,"a little bit more"
"786",20,"a long time i"
"787",20,"a part of it"
"788",20,"a portion of the"
"789",20,"a spokeswoman for the"
"790",20,"a year and a"
"791",20,"are the ones who"
"792",20,"as soon as we"
"793",20,"be a good day"
"794",20,"be a lot of"
"795",20,"been a long time"
"796",20,"bring to a boil"
"797",20,"but in the end"
"798",20,"come out of the"
"799",20,"come up with the"
"800",20,"could have been a"
"801",20,"dancing with the stars"
"802",20,"do you know what"
"803",20,"dont know about you"
"804",20,"for more than years"
"805",20,"for the follow and"
"806",20,"for the heads up"
"807",20,"from around the world"
"808",20,"g protein g carbohydrate"
"809",20,"have the opportunity to"
"810",20,"have to go through"
"811",20,"have to say that"
"812",20,"i feel like a"
"813",20,"i had a lot"
"814",20,"i hope you are"
"815",20,"i think i will"
"816",20,"if i had a"
"817",20,"if i had to"
"818",20,"if they want to"
"819",20,"if you dont like"
"820",20,"if youd like to"
"821",20,"im going to have"
"822",20,"in item c above"
"823",20,"in new york and"
"824",20,"in terms of the"
"825",20,"in the new york"
"826",20,"in the second quarter"
"827",20,"in the st louis"
"828",20,"it comes to the"
"829",20,"looking forward to your"
"830",20,"make the most of"
"831",20,"my wife and i"
"832",20,"now i have to"
"833",20,"of the block of"
"834",20,"of the new york"
"835",20,"of the st louis"
"836",20,"on one of the"
"837",20,"on the way home"
"838",20,"on the west coast"
"839",20,"quite a bit of"
"840",20,"right in front of"
"841",20,"th anniversary of the"
"842",20,"thanks for following us"
"843",20,"that a lot of"
"844",20,"that i have a"
"845",20,"that this is a"
"846",20,"the direction of the"
"847",20,"the face of the"
"848",20,"the only thing i"
"849",20,"the top of my"
"850",20,"there were a lot"
"851",20,"thing in the world"
"852",20,"think it would be"
"853",20,"to go to school"
"854",20,"to look at the"
"855",20,"to make it a"
"856",20,"to participate in the"
"857",20,"to the point of"
"858",20,"too much of a"
"859",20,"we have a lot"
"860",20,"what it takes to"
"861",20,"what you want to"
"862",20,"who do you think"
"863",20,"with one of the"
"864",20,"would love to hear"
"865",20,"you and your family"
"866",20,"you are looking for"
"867",19,"a few days ago"
"868",19,"a lot of good"
"869",19,"a very long time"
"870",19,"and i cant wait"
"871",19,"and i have been"
"872",19,"and it will be"
"873",19,"are going to get"
"874",19,"are you ready for"
"875",19,"as long as i"
"876",19,"as long as they"
"877",19,"as much as we"
"878",19,"as much as you"
"879",19,"as soon as the"
"880",19,"but it was a"
"881",19,"can you follow me"
"882",19,"despite the fact that"
"883",19,"end of the world"
"884",19,"for a while i"
"885",19,"for some reason i"
"886",19,"for those of us"
"887",19,"going to try to"
"888",19,"great to meet you"
"889",19,"had no idea what"
"890",19,"had the opportunity to"
"891",19,"have to be a"
"892",19,"have to deal with"
"893",19,"health and human services"
"894",19,"i am so excited"
"895",19,"i dont care if"
"896",19,"i had a great"
"897",19,"i have a new"
"898",19,"i just have to"
"899",19,"i just need to"
"900",19,"i knew it was"
"901",19,"i know i know"
"902",19,"i think i have"
"903",19,"i will be there"
"904",19,"i will have to"
"905",19,"if i wanted to"
"906",19,"if youre going to"
"907",19,"in a good way"
"908",19,"in a large bowl"
"909",19,"in connection with the"
"910",19,"in my head i"
"911",19,"in need of a"
"912",19,"in the house and"
"913",19,"in the th century"
"914",19,"in the world i"
"915",19,"is a great way"
"916",19,"it is a great"
"917",19,"it was a very"
"918",19,"it was nice to"
"919",19,"know about you but"
"920",19,"like a lot of"
"921",19,"need to get a"
"922",19,"of the th century"
"923",19,"of the things that"
"924",19,"one of the many"
"925",19,"one of the more"
"926",19,"one way or another"
"927",19,"over the past few"
"928",19,"people are going to"
"929",19,"please follow me i"
"930",19,"see you at the"
"931",19,"tens of thousands of"
"932",19,"thank you for sharing"
"933",19,"that i used to"
"934",19,"that sounds like a"
"935",19,"that there will be"
"936",19,"that this is the"
"937",19,"the best in the"
"938",19,"the course of the"
"939",19,"the fact that he"
"940",19,"the past couple of"
"941",19,"the past few months"
"942",19,"the size of a"
"943",19,"the wall street journal"
"944",19,"this is a very"
"945",19,"thought it was a"
"946",19,"to check it out"
"947",19,"to do with it"
"948",19,"to get on the"
"949",19,"to go with the"
"950",19,"to make a decision"
"951",19,"to make up for"
"952",19,"to one of the"
"953",19,"to see if i"
"954",19,"to the top of"
"955",19,"turn out to be"
"956",19,"was the last time"
"957",19,"we had a great"
"958",19,"were a lot of"
"959",19,"when i get home"
"960",19,"with some of the"
"961",19,"you can do it"
"962",19,"you i love you"
"963",19,"you will have to"
"964",18,"a good idea to"
"965",18,"able to make it"
"966",18,"and i am not"
"967",18,"and i have no"
"968",18,"and it was a"
"969",18,"and we have a"
"970",18,"are you coming to"
"971",18,"as a member of"
"972",18,"as soon as possible"
"973",18,"at this point in"
"974",18,"be part of a"
"975",18,"be the first to"
"976",18,"been a while since"
"977",18,"been one of the"
"978",18,"being a part of"
"979",18,"but i want to"
"980",18,"came up with a"
"981",18,"case western reserve university"
"982",18,"do you think you"
"983",18,"dont know if i"
"984",18,"dont know what to"
"985",18,"dont want to be"
"986",18,"early in the morning"
"987",18,"forward to your tweets"
"988",18,"going on in the"
"989",18,"had a great day"
"990",18,"had nothing to do"
"991",18,"have a good day"
"992",18,"have been trying to"
"993",18,"hope everyone had a"
"994",18,"hour and a half"
"995",18,"how have you been"
"996",18,"i am happy to"
"997",18,"i am thankful for"
"998",18,"i have never been"
"999",18,"i know i am"
"1000",18,"i think im going"
"1001",18,"i think its a"
"1002",18,"if you are in"
"1003",18,"if you have to"
"1004",18,"im just going to"
"1005",18,"im not sure what"
"1006",18,"in a variety of"
"1007",18,"in front of her"
"1008",18,"in the last few"
"1009",18,"in the last years"
"1010",18,"in the past and"
"1011",18,"in the second round"
"1012",18,"incorporated in item c"
"1013",18,"is a matter of"
"1014",18,"it could be a"
"1015",18,"it looks like a"
"1016",18,"it seems to be"
"1017",18,"its been a while"
"1018",18,"its one of the"
"1019",18,"look forward to your"
"1020",18,"might be able to"
"1021",18,"not be reached for"
"1022",18,"of the house and"
"1023",18,"of the rest of"
"1024",18,"of the season and"
"1025",18,"on the phone with"
"1026",18,"over the next few"
"1027",18,"per serving calories g"
"1028",18,"protein g carbohydrate g"
"1029",18,"right around the corner"
"1030",18,"said it was a"
"1031",18,"see if i can"
"1032",18,"seems to be a"
"1033",18,"she was going to"
"1034",18,"so proud of you"
"1035",18,"sometimes you have to"
"1036",18,"spend a lot of"
"1037",18,"thanks for the rts"
"1038",18,"thanks for your support"
"1039",18,"that i need to"
"1040",18,"that would be a"
"1041",18,"that you have to"
"1042",18,"the hall of fame"
"1043",18,"the los angeles times"
"1044",18,"the next few weeks"
"1045",18,"the past few years"
"1046",18,"the same time i"
"1047",18,"the shit out of"
"1048",18,"there was no way"
"1049",18,"time of the year"
"1050",18,"to be a very"
"1051",18,"to everyone who came"
"1052",18,"to focus on the"
"1053",18,"to pick up the"
"1054",18,"to see what the"
"1055",18,"to the bottom of"
"1056",18,"want to do it"
"1057",18,"way to start the"
"1058",18,"we are looking for"
"1059",18,"we went to the"
"1060",18,"went back to the"
"1061",18,"were going to have"
"1062",18,"what i was doing"
"1063",18,"what it means to"
"1064",18,"when it came to"
"1065",18,"who is going to"
"1066",18,"wish i could have"
"1067",18,"with a bunch of"
"1068",18,"with all of the"
"1069",18,"with the fact that"
"1070",18,"with the idea of"
"1071",18,"you dont need to"
"1072",18,"you know what you"
"1073",18,"you need to be"
"1074",18,"you want to know"
"1075",17,"a long time and"
"1076",17,"a lot of them"
"1077",17,"a picture of the"
"1078",17,"a small amount of"
"1079",17,"across the street from"
"1080",17,"an hour and a"
"1081",17,"and a couple of"
"1082",17,"and i know that"
"1083",17,"and let me know"
"1084",17,"and thank you for"
"1085",17,"and there was a"
"1086",17,"are looking for a"
"1087",17,"are we going to"
"1088",17,"as a matter of"
"1089",17,"at the right time"
"1090",17,"but i dont know"
"1091",17,"came up with the"
"1092",17,"can be used to"
"1093",17,"coming out of the"
"1094",17,"do not want to"
"1095",17,"end up with a"
"1096",17,"for a few hours"
"1097",17,"for a little while"
"1098",17,"for the kind words"
"1099",17,"for the purpose of"
"1100",17,"got out of the"
"1101",17,"had a good time"
