"","sort.n2gramstats..decreasing...T.","last"
"208",868,"during the"
"209",863,"i hope"
"210",859,"is to"
"211",856,"last year"
"212",853,"to keep"
"213",843,"to you"
"214",842,"to help"
"215",838,"of their"
"216",837,"i feel"
"217",832,"you want"
"218",831,"up with"
"219",830,"end of"
"220",828,"i thought"
"221",828,"off the"
"222",824,"they have"
"223",820,"most of"
"224",819,"could be"
"225",816,"it will"
"226",816,"there was"
"227",814,"love you"
"228",811,"that they"
"229",807,"when he"
"230",806,"in your"
"231",805,"by a"
"232",805,"do it"
"233",802,"to find"
"234",799,"i like"
"235",798,"if the"
"236",796,"what you"
"237",794,"you to"
"238",791,"we were"
"239",790,"she said"
"240",788,"i get"
"241",784,"forward to"
"242",784,"such as"
"243",783,"up and"
"244",781,"and you"
"245",779,"because of"
"246",779,"such a"
"247",777,"of it"
"248",776,"and his"
"249",775,"did not"
"250",775,"i didnt"
"251",773,"he has"
"252",773,"of your"
"253",770,"a big"
"254",767,"around the"
"255",766,"a very"
"256",766,"make a"
"257",766,"the past"
"258",761,"and other"
"259",761,"to come"
"260",760,"a year"
"261",759,"i did"
"262",759,"know what"
"263",752,"and he"
"264",752,"of those"
"265",750,"the right"
"266",745,"the us"
"267",743,"me i"
"268",741,"me and"
"269",741,"the game"
"270",741,"what is"
"271",740,"in an"
"272",739,"do not"
"273",739,"it i"
"274",739,"make it"
"275",737,"and they"
"276",733,"used to"
"277",731,"not to"
"278",729,"to know"
"279",726,"in their"
"280",724,"it and"
"281",722,"about it"
"282",720,"get to"
"283",720,"see the"
"284",717,"is going"
"285",715,"see you"
"286",709,"just a"
"287",707,"got a"
"288",706,"its not"
"289",706,"out to"
"290",701,"i really"
"291",700,"in and"
"292",700,"is in"
"293",697,"a couple"
"294",697,"dont know"
"295",692,"get the"
"296",692,"looking for"
"297",691,"well as"
"298",689,"because i"
"299",689,"the second"
"300",688,"try to"
"301",687,"is an"
"302",687,"of us"
"303",686,"you dont"
"304",685,"years ago"
"305",684,"last night"
"306",684,"who is"
"307",683,"had been"
"308",683,"the house"
"309",676,"my life"
"310",676,"you will"
"311",675,"are not"
"312",675,"been a"
"313",675,"of that"
"314",674,"in our"
"315",674,"is it"
"316",673,"he had"
"317",673,"time i"
"318",669,"may be"
"319",667,"is so"
"320",667,"it has"
"321",666,"take a"
"322",666,"to give"
"323",664,"and its"
"324",664,"high school"
"325",664,"look at"
"326",661,"people who"
"327",661,"the rest"
"328",660,"a long"
"329",660,"be in"
"330",659,"of you"
"331",656,"was in"
"332",654,"are a"
"333",653,"you and"
"334",651,"the top"
"335",650,"up in"
"336",649,"now i"
"337",643,"did you"
"338",640,"for this"
"339",639,"when it"
"340",638,"of all"
"341",633,"at all"
"342",632,"let me"
"343",631,"of her"
"344",625,"not the"
"345",625,"the one"
"346",625,"to play"
"347",624,"we had"
"348",623,"on this"
"349",623,"with you"
"350",622,"on your"
"351",620,"was not"
"352",619,"it in"
"353",619,"to start"
"354",619,"what the"
"355",618,"know that"
"356",615,"so many"
"357",613,"before the"
"358",610,"at pm"
"359",608,"for your"
"360",608,"to use"
"361",607,"that would"
"362",606,"those who"
"363",606,"you for"
"364",604,"and in"
"365",604,"no one"
"366",603,"feel like"
"367",602,"and to"
"368",601,"follow me"
"369",600,"and my"
"370",600,"i hate"
"371",599,"down the"
"372",596,"you get"
"373",593,"not be"
"374",593,"you think"
"375",592,"number of"
"376",589,"come to"
"377",585,"than the"
"378",584,"for all"
"379",583,"of an"
"380",583,"too much"
"381",580,"first time"
"382",580,"if they"
"383",580,"the whole"
"384",574,"be able"
"385",574,"them to"
"386",574,"you do"
"387",573,"what a"
"388",572,"back in"
"389",572,"in that"
"390",571,"went to"
"391",568,"couple of"
"392",567,"after a"
"393",566,"does not"
"394",565,"this morning"
"395",563,"to all"
"396",562,"of these"
"397",561,"might be"
"398",560,"enough to"
"399",560,"last week"
"400",558,"she is"
"401",558,"the two"
"402",557,"looking forward"
"403",556,"must be"
"404",554,"a day"
"405",554,"instead of"
"406",554,"the year"
"407",553,"the th"
"408",552,"with his"
"409",551,"i guess"
"410",551,"love to"
"411",551,"rest of"
"412",551,"said i"
"413",547,"said that"
"414",547,"the people"
"415",545,"lots of"
"416",545,"me a"
"417",545,"when they"
"418",543,"ive been"
"419",543,"the fact"
"420",543,"up for"
"421",543,"we will"
"422",543,"when we"
"423",542,"with me"
"424",540,"about a"
"425",540,"got to"
"426",539,"i wish"
"427",538,"dont have"
"428",537,"and not"
"429",537,"as it"
"430",537,"on his"
"431",537,"ready to"
"432",536,"and is"
"433",536,"is one"
"434",536,"wants to"
"435",535,"hard to"
"436",535,"to this"
"437",534,"is no"
"438",533,"so far"
"439",532,"to hear"
"440",532,"up on"
"441",532,"who are"
"442",531,"as an"
"443",531,"check out"
"444",531,"i don’t"
"445",529,"to your"
"446",525,"wait to"
"447",521,"hope you"
"448",521,"the company"
"449",520,"think i"
"450",519,"to his"
"451",518,"as he"
"452",518,"than a"
"453",517,"make sure"
"454",516,"for an"
"455",515,"out there"
"456",513,"for his"
"457",511,"where the"
"458",509,"and more"
"459",509,"it all"
"460",509,"make the"
"461",509,"this was"
"462",508,"you need"
"463",507,"out and"
"464",506,"but he"
"465",506,"how much"
"466",506,"under the"
"467",505,"to win"
"468",503,"fact that"
"469",502,"we need"
"470",500,"it a"
"471",500,"thanks to"
"472",500,"this weekend"
"473",499,"will have"
"474",498,"if it"
"475",498,"to put"
"476",497,"about to"
"477",497,"that a"
"478",496,"it out"
"479",496,"time for"
"480",495,"of what"
"481",494,"is my"
"482",494,"many of"
"483",494,"that are"
"484",493,"as they"
"485",493,"it the"
"486",493,"of people"
"487",492,"a small"
"488",492,"away from"
"489",492,"the big"
"490",491,"or a"
"491",491,"with an"
"492",490,"im going"
"493",490,"their own"
"494",489,"like that"
"495",487,"need a"
"496",487,"to watch"
"497",487,"you guys"
"498",486,"having a"
"499",486,"that will"
"500",484,"the story"
"501",483,"him to"
"502",481,"as much"
"503",481,"my favorite"
"504",479,"needs to"
"505",479,"the book"
"506",479,"who has"
"507",478,"across the"
"508",478,"in her"
"509",478,"you were"
"510",477,"for some"
"511",476,"there were"
"512",475,"with her"
"513",474,"love the"
"514",474,"up a"
"515",473,"this time"
"516",472,"had the"
"517",471,"i saw"
"518",469,"along with"
"519",469,"is just"
"520",468,"based on"
"521",468,"do i"
"522",468,"know how"
"523",467,"but not"
"524",467,"decided to"
"525",467,"or the"
"526",467,"what we"
"527",466,"and was"
"528",466,"ill be"
"529",465,"at this"
"530",465,"down to"
"531",465,"is still"
"532",464,"of its"
"533",463,"looks like"
"534",462,"against the"
"535",462,"in which"
"536",462,"the team"
"537",462,"to our"
"538",461,"you should"
"539",460,"and have"
"540",460,"are in"
"541",460,"from my"
"542",458,"a man"
"543",458,"st louis"
"544",456,"as we"
"545",456,"can do"
"546",456,"so that"
"547",455,"but they"
"548",455,"not only"
"549",454,"and all"
"550",454,"to her"
"551",453,"the country"
"552",452,"and im"
"553",452,"if we"
"554",452,"on their"
"555",451,"a week"
"556",447,"for more"
"557",446,"percent of"
"558",445,"i wanted"
"559",444,"have you"
"560",444,"to meet"
"561",443,"for that"
"562",443,"like this"
"563",443,"who was"
"564",442,"going on"
"565",442,"then i"
"566",440,"and get"
"567",440,"if he"
"568",440,"like it"
"569",440,"ready for"
"570",440,"that she"
"571",439,"talking about"
"572",439,"the show"
"573",438,"i see"
"574",437,"but its"
"575",436,"because it"
"576",436,"to it"
"577",435,"working on"
"578",434,"better than"
"579",434,"how many"
"580",434,"say that"
"581",430,"it up"
"582",430,"you cant"
"583",429,"is now"
"584",428,"you i"
"585",427,"i should"
"586",427,"said it"
"587",426,"can you"
"588",425,"and if"
"589",425,"each other"
"590",425,"for her"
"591",425,"for their"
"592",425,"time and"
"593",424,"because the"
"594",423,"even if"
"595",423,"on it"
"596",422,"and she"
"597",422,"i miss"
"598",422,"in fact"
"599",422,"is on"
"600",421,"the follow"
"601",420,"in new"
"602",420,"listening to"
"603",420,"rather than"
"604",418,"think of"
"605",418,"what they"
"606",417,"have no"
"607",417,"the season"
"608",417,"wish i"
"609",416,"has to"
"610",416,"my own"
"611",416,"they can"
"612",416,"us to"
"613",415,"for it"
"614",415,"for our"
"615",415,"on to"
"616",415,"to tell"
"617",414,"day of"
"618",414,"tried to"
"619",413,"talk about"
"620",412,"bit of"
"621",412,"like i"
"622",412,"you a"
"623",411,"but we"
"624",411,"due to"
"625",411,"it for"
"626",410,"to their"
"627",409,"could have"
"628",409,"to try"
"629",408,"get it"
"630",408,"people are"
"631",408,"the night"
"632",407,"is what"
"633",407,"with your"
"634",405,"front of"
"635",405,"that has"
"636",404,"can get"
"637",404,"less than"
"638",404,"the future"
"639",403,"and so"
"640",403,"just got"
"641",402,"will not"
"642",401,"even though"
"643",401,"the s"
"644",401,"theres a"
"645",401,"was just"
"646",400,"am i"
"647",400,"and their"
"648",400,"for years"
"649",400,"its the"
"650",400,"that this"
"651",399,"a while"
"652",399,"are so"
"653",399,"said in"
"654",398,"and her"
"655",398,"for us"
"656",398,"me the"
"657",398,"she has"
"658",397,"if youre"
"659",397,"today i"
"660",396,"is also"
"661",396,"should have"
"662",396,"the national"
"663",396,"to pay"
"664",395,"as you"
"665",395,"because they"
"666",395,"happy birthday"
"667",395,"out in"
"668",395,"since the"
"669",395,"the middle"
"670",394,"and this"
"671",394,"do the"
"672",394,"so we"
"673",394,"to an"
"674",393,"to stop"
"675",393,"to talk"
"676",392,"sort of"
"677",391,"know i"
"678",391,"love it"
"679",391,"you in"
"680",390,"a way"
"681",390,"being a"
"682",389,"at home"
"683",389,"im a"
"684",389,"the more"
"685",388,"good morning"
"686",388,"with this"
"687",387,"but im"
"688",387,"im so"
"689",387,"much of"
"690",386,"all i"
"691",386,"i still"
"692",386,"the final"
"693",386,"they will"
"694",386,"top of"
"695",386,"was going"
"696",385,"a chance"
"697",385,"chance to"
"698",385,"my mom"
"699",385,"not sure"
"700",385,"on twitter"
"701",384,"to look"
"702",383,"and how"
"703",382,"while the"
"704",381,"are going"
"705",381,"dont think"
"706",381,"in one"
"707",381,"the case"
"708",381,"this one"
"709",380,"and there"
"710",379,"new jersey"
"711",377,"a huge"
"712",377,"and now"
"713",377,"day i"
"714",377,"out for"
"715",377,"side of"
"716",377,"to read"
"717",377,"waiting for"
"718",376,"they had"
"719",376,"you all"
"720",375,"off to"
"721",375,"the united"
"722",375,"to think"
"723",375,"was so"
"724",374,"i found"
"725",374,"in front"
"726",374,"it on"
"727",374,"seems to"
"728",374,"you the"
"729",373,"and what"
"730",373,"between the"
"731",373,"he would"
"732",373,"made a"
"733",373,"on our"
"734",372,"i also"
"735",372,"me that"
"736",371,"and for"
"737",371,"tell me"
"738",370,"got the"
"739",370,"who have"
"740",369,"have an"
"741",369,"i used"
"742",369,"it but"
"743",369,"she had"
"744",369,"to live"
"745",369,"with it"
"746",369,"you could"
"747",368,"at my"
"748",368,"me in"
"749",368,"my first"
"750",367,"do that"
"751",367,"dont want"
"752",367,"to bring"
"753",365,"live in"
"754",365,"may have"
"755",364,"close to"
"756",364,"of time"
"757",364,"the word"
"758",363,"a better"
"759",363,"i mean"
"760",363,"we all"
"761",363,"where i"
"762",363,"you like"
"763",362,"but that"
"764",361,"until the"
"765",360,"tell you"
"766",359,"i said"
"767",359,"made it"
"768",359,"that there"
"769",359,"we do"
"770",358,"all that"
"771",358,"continue to"
"772",358,"it just"
"773",358,"what it"
"774",357,"i havent"
"775",357,"makes me"
"776",357,"not just"
"777",357,"to share"
"778",356,"the entire"
"779",355,"at am"
"780",353,"i never"
"781",353,"them in"
"782",352,"the back"
"783",352,"to buy"
"784",351,"back and"
"785",351,"in all"
"786",351,"supposed to"
"787",350,"for those"
"788",350,"his own"
"789",350,"i went"
"790",350,"on that"
"791",350,"think about"
"792",349,"and some"
"793",349,"in order"
"794",349,"to create"
"795",349,"told me"
"796",349,"with their"
"797",348,"no longer"
"798",348,"what are"
"799",347,"much as"
"800",347,"seem to"
"801",347,"talk to"
"802",347,"the school"
"803",347,"to move"
"804",347,"you just"
"805",346,"he will"
"806",346,"you see"
"807",345,"the old"
"808",345,"time in"
"809",345,"to follow"
"810",345,"to stay"
"811",344,"a nice"
"812",344,"can i"
"813",344,"next week"
"814",344,"the idea"
"815",343,"good luck"
"816",343,"with all"
"817",342,"as if"
"818",342,"my new"
"819",342,"the road"
"820",342,"to learn"
"821",341,"said she"
"822",341,"that one"
"823",341,"with some"
"824",340,"all my"
"825",340,"of me"
"826",340,"one day"
"827",340,"take the"
"828",339,"but you"
"829",338,"and when"
"830",338,"and will"
"831",338,"but if"
"832",338,"has the"
"833",338,"know the"
"834",337,"in it"
"835",336,"not have"
"836",335,"is this"
"837",335,"think that"
"838",334,"expected to"
"839",334,"how i"
"840",334,"in to"
"841",332,"interested in"
"842",332,"listen to"
"843",332,"when she"
"844",331,"or not"
"845",330,"any of"
"846",330,"now that"
"847",330,"out on"
"848",330,"to leave"
"849",329,"do with"
"850",329,"how the"
"851",329,"to show"
"852",329,"wait for"
"853",328,"every day"
"854",328,"it seems"
"855",328,"next year"
"856",328,"united states"
"857",328,"well i"
"858",327,"be on"
"859",327,"find a"
"860",327,"much more"
"861",327,"of being"
"862",327,"out a"
"863",327,"would like"
"864",326,"a time"
"865",325,"all over"
"866",325,"and has"
"867",325,"day and"
"868",325,"i made"
"869",325,"it with"
"870",325,"the public"
"871",324,"is more"
"872",323,"before i"
"873",323,"i knew"
"874",322,"and even"
"875",322,"but a"
"876",322,"full of"
"877",322,"life is"
"878",322,"the kids"
"879",322,"was an"
"880",321,"all day"
"881",321,"excited to"
"882",321,"what he"
"883",320,"which i"
"884",318,"here in"
"885",318,"is about"
"886",316,"in some"
"887",316,"on her"
"888",315,"a bad"
"889",315,"a large"
"890",315,"amount of"
"891",315,"good to"
"892",315,"he says"
"893",315,"it comes"
"894",315,"los angeles"
"895",315,"which was"
"896",314,"know if"
"897",313,"can see"
"898",313,"just as"
"899",313,"to that"
"900",313,"to write"
"901",313,"your own"
"902",312,"came to"
"903",312,"here is"
"904",312,"look like"
"905",312,"the great"
"906",311,"with that"
"907",310,"i say"
"908",310,"the university"
"909",310,"would not"
"910",309,"we got"
"911",309,"where you"
"912",308,"the real"
"913",308,"what do"
"914",307,"along the"
"915",307,"an hour"
"916",307,"that in"
"917",307,"things that"
"918",306,"so it"
"919",306,"the good"
"920",305,"so the"
"921",305,"the number"
"922",305,"we could"
"923",305,"year and"
"924",304,"this season"
"925",304,"was to"
"926",303,"comes to"
"927",303,"in its"
"928",303,"lol i"
"929",303,"piece of"
"930",303,"thats what"
"931",303,"the man"
"932",302,"about how"
"933",302,"am not"
"934",302,"for them"
"935",302,"my mind"
"936",302,"of new"
"937",302,"two years"
"938",302,"what was"
"939",301,"my head"
"940",301,"only one"
"941",301,"them and"
"942",301,"you so"
"943",300,"about this"
"944",300,"day to"
"945",300,"him and"
"946",300,"people in"
"947",300,"the bottom"
"948",299,"about what"
"949",299,"and one"
"950",299,"have had"
"951",299,"its been"
"952",299,"made the"
"953",299,"people to"
"954",299,"the door"
"955",299,"the main"
"956",299,"the st"
"957",299,"were not"
"958",298,"just like"
"959",298,"lack of"
"960",298,"no matter"
"961",298,"they would"
"962",297,"and make"
"963",297,"director of"
"964",297,"for example"
"965",297,"me know"
"966",296,"miss you"
"967",296,"the car"
"968",296,"the film"
"969",296,"who had"
"970",295,"be there"
"971",295,"to eat"
"972",295,"years of"
"973",294,"a month"
"974",294,"and an"
"975",294,"for him"
"976",294,"in love"
"977",294,"order to"
"978",294,"the morning"
"979",294,"the third"
"980",294,"to change"
"981",294,"use the"
"982",293,"the sun"
"983",293,"to run"
"984",292,"a whole"
"985",292,"it as"
"986",292,"mothers day"
"987",292,"that my"
"988",292,"university of"
"989",291,"and your"
"990",291,"i believe"
"991",291,"looking at"
"992",291,"sense of"
"993",291,"the biggest"
"994",290,"but this"
"995",290,"is your"
"996",290,"list of"
"997",290,"my friend"
"998",290,"social media"
"999",290,"took a"
"1000",290,"up at"
"1001",290,"willing to"
"1002",289,"and on"
"1003",289,"at work"
"1004",289,"so you"
"1005",289,"that can"
"1006",289,"the american"
"1007",289,"you may"
"1008",288,"are all"
"1009",288,"happy to"
"1010",288,"more of"
"1011",288,"now the"
"1012",288,"the weekend"
"1013",288,"think the"
"1014",288,"when a"
"1015",288,"yes i"
"1016",287,"do a"
"1017",287,"you would"
"1018",286,"i always"
"1019",286,"needed to"
"1020",286,"not going"
"1021",286,"see it"
"1022",286,"that if"
"1023",286,"the movie"
"1024",285,"a single"
"1025",285,"and are"
"1026",285,"easy to"
"1027",285,"is all"
"1028",285,"it can"
"1029",285,"over a"
"1030",285,"thats a"
"1031",284,"among the"
"1032",284,"are still"
"1033",284,"even more"
"1034",284,"may not"
"1035",284,"same time"
"1036",284,"that have"
"1037",283,"out with"
"1038",282,"gonna be"
"1039",282,"might have"
"1040",282,"the very"
"1041",282,"thinking about"
"1042",282,"what to"
"1043",282,"work on"
"1044",281,"all about"
"1045",281,"the point"
"1046",281,"the week"
"1047",281,"us and"
"1048",281,"while i"
"1049",281,"work with"
"1050",280,"ability to"
"1051",280,"back on"
"1052",280,"deal with"
"1053",279,"and as"
"1054",279,"become a"
"1055",279,"sure to"
"1056",279,"the government"
"1057",278,"and just"
"1058",278,"how do"
"1059",278,"next to"
"1060",278,"on friday"
"1061",278,"said they"
"1062",278,"told the"
"1063",278,"with him"
"1064",277,"but in"
"1065",276,"like you"
"1066",276,"see a"
"1067",275,"a friend"
"1068",275,"hope to"
"1069",275,"would love"
"1070",274,"be an"
"1071",274,"because he"
"1072",274,"is like"
"1073",274,"san francisco"
"1074",274,"set up"
"1075",274,"work and"
"1076",273,"day in"
"1077",273,"then the"
"1078",273,"to sleep"
"1079",272,"he did"
"1080",272,"just the"
"1081",272,"make me"
"1082",272,"that were"
"1083",271,"it could"
"1084",271,"since i"
"1085",271,"think it"
"1086",271,"use of"
"1087",271,"would you"
"1088",270,"half of"
"1089",270,"not even"
"1090",270,"see what"
"1091",270,"the worst"
"1092",270,"time the"
"1093",269,"long time"
"1094",269,"on monday"
"1095",269,"one that"
"1096",269,"we dont"
"1097",268,"from his"
"1098",268,"my heart"
"1099",268,"the money"
"1100",267,"and no"
"1101",267,"did i"
"1102",267,"his wife"
"1103",267,"just to"
"1104",267,"opportunity to"
"1105",267,"these are"
"1106",267,"to ask"
"1107",267,"to him"
"1108",267,"within the"
"1109",267,"your life"
"1110",266,"a game"
"1111",266,"every time"
"1112",266,"made me"
"1113",266,"to let"
"1114",266,"type of"
"1115",266,"why i"
"1116",265,"be more"
"1117",265,"friends and"
"1118",265,"group of"
"1119",265,"to call"
"1120",265,"where he"
"1121",265,"with us"
"1122",264,"im sure"
"1123",264,"welcome to"
"1124",264,"you might"
"1125",264,"you too"
"1126",263,"a different"
"1127",263,"on and"
"1128",263,"the ground"
"1129",262,"i wonder"
"1130",262,"now and"
"1131",262,"one thing"
"1132",262,"today is"
"1133",261,"a real"
"1134",261,"the ball"
"1135",261,"throughout the"
"1136",261,"to them"
"1137",260,"a woman"
"1138",260,"and be"
"1139",260,"sounds like"
"1140",260,"the board"
"1141",259,"come back"
"1142",259,"have any"
"1143",259,"his first"
"1144",259,"it so"
"1145",258,"department of"
"1146",258,"he also"
"1147",258,"he can"
"1148",258,"is for"
"1149",258,"of life"
"1150",258,"the original"
"1151",258,"to build"
"1152",257,"a second"
"1153",257,"believe that"
"1154",257,"but there"
"1155",257,"it doesnt"
"1156",257,"rt i"
"1157",257,"that its"
"1158",257,"the field"
"1159",257,"they dont"
"1160",257,"was on"
"1161",257,"was one"
"1162",256,"and had"
"1163",256,"get out"
"1164",256,"many people"
"1165",256,"through a"
"1166",255,"he could"
"1167",255,"i felt"
"1168",255,"idea of"
"1169",255,"keep the"
"1170",255,"right to"
"1171",255,"the family"
"1172",255,"with no"
"1173",254,"it’s a"
"1174",254,"me on"
"1175",254,"were in"
"1176",253,"could not"
"1177",253,"we should"
"1178",252,"here and"
"1179",252,"last month"
"1180",252,"no idea"
"1181",252,"something that"
"1182",252,"the event"
"1183",252,"years and"
"1184",251,"i remember"
"1185",251,"nice to"
"1186",251,"on an"
"1187",251,"to spend"
"1188",251,"too many"
"1189",251,"watching the"
"1190",250,"is there"
"1191",250,"little bit"
"1192",250,"some people"
"1193",250,"thats the"
"1194",250,"version of"
"1195",250,"with them"
"1196",249,"a major"
"1197",249,"do this"
"1198",249,"is always"
"1199",249,"that could"
"1200",249,"the front"
"1201",249,"thousands of"
"1202",248,"find out"
"1203",248,"its just"
"1204",248,"long as"
"1205",248,"my friends"
"1206",248,"the group"
"1207",248,"to us"
"1208",247,"coming to"
"1209",247,"i took"
"1210",247,"is very"
"1211",247,"members of"
"1212",247,"only a"
"1213",247,"over and"
"1214",247,"the street"
"1215",246,"but when"
"1216",246,"focus on"
"1217",246,"on saturday"
"1218",246,"plans to"
"1219",246,"plenty of"
"1220",246,"president of"
"1221",246,"so excited"
"1222",246,"you got"
"1223",245,"the federal"
"1224",245,"was that"
"1225",245,"you feel"
"1226",244,"a more"
"1227",244,"come on"
"1228",244,"down and"
"1229",244,"i find"
"1230",244,"i wanna"
"1231",244,"me up"
"1232",244,"to become"
"1233",243,"about that"
"1234",243,"after all"
"1235",243,"is good"
"1236",243,"on top"
"1237",242,"im just"
"1238",242,"in addition"
"1239",242,"much for"
"1240",242,"were the"
"1241",241,"go on"
"1242",241,"how you"
"1243",241,"me for"
"1244",241,"three years"
"1245",241,"to its"
"1246",241,"way of"
"1247",240,"i decided"
"1248",240,"me too"
"1249",240,"the states"
"1250",240,"the things"
"1251",240,"time of"
"1252",240,"to check"
"1253",239,"a beautiful"
"1254",239,"and see"
"1255",239,"behind the"
"1256",239,"love and"
"1257",239,"the law"
"1258",239,"the problem"
"1259",239,"you go"
"1260",238,"a book"
"1261",238,"a person"
"1262",238,"find the"
"1263",238,"go back"
"1264",238,"had no"
"1265",238,"how are"
"1266",238,"place to"
"1267",238,"the air"
"1268",238,"we would"
"1269",237,"not that"
"1270",237,"the job"
"1271",237,"the latest"
"1272",237,"the moment"
"1273",237,"were a"
"1274",237,"wont be"
"1275",236,"in other"
"1276",236,"let the"
"1277",236,"likely to"
"1278",236,"that way"
"1279",235,"as long"
"1280",235,"at that"
"1281",235,"be at"
"1282",235,"they do"
"1283",235,"we want"
"1284",234,"any other"
"1285",234,"have some"
"1286",234,"someone who"
"1287",234,"the beginning"
"1288",234,"the current"
"1289",234,"the water"
"1290",233,"been in"
"1291",233,"out that"
"1292",233,"the name"
"1293",233,"the white"
"1294",233,"there and"
"1295",232,"a place"
"1296",232,"good for"
"1297",232,"her to"
"1298",232,"here are"
"1299",232,"i might"
"1300",232,"i told"
"1301",232,"im in"
"1302",232,"so good"
"1303",232,"the room"
"1304",232,"there will"
"1305",232,"two weeks"
"1306",232,"will never"
"1307",231,"about you"
"1308",231,"come out"
"1309",231,"end up"
"1310",231,"if u"
"1311",231,"life and"
"1312",231,"of which"
"1313",231,"out i"
"1314",231,"the music"
"1315",231,"to add"
"1316",231,"two of"
"1317",231,"way i"
"1318",231,"we know"
"1319",230,"a job"
"1320",230,"a wonderful"
